title,price,Rating,free_shipping_status,draz_mall_status,seller_rating,ship_on_time_score,score
"Redmi Note 12 8GB Ram 128GB Rom, Display Size 6.67 Inches, Battery Capacity 5000 mAh , Fast charging 33W","Rs. 55,999",0,free shiping,status not avail,New Seller,100%,"Rs. 55,999"
"Xiaomi Redmi Note 12 RAM 6 GB ROM 128 Front Camera 13 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 54,999",5.0,free shiping,status not avail,95%,94%,"Rs. 54,999"
"Redmi Note 12 Pro , 8GB RAM 256GB ROM , 108MP Main Camera , Finger Sensor , 5000mAh Fast Charging","Rs. 90,210",0,free shiping,status not avail,93%,80%,"Rs. 90,210"
"Xiaomi Redmi Note 12 Pro RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 108 MP + 08 MP + 02 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 88,880",5.0,free shiping,status not avail,95%,55%,"Rs. 88,880"
"Xiaomi Redmi Note 12 Pro RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 108 MP + 08 MP + 02 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 90,000",0,free shiping,status not avail,93%,Not enough data,"Rs. 90,000"
Xiaomi Redmi Note 12 S RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 108 MP + 8 MP + 2 MP Battery Type 5000 mAh,"Rs. 74,499",0,free shiping,status not avail,95%,94%,"Rs. 74,499"
Xiaomi Redmi Note 12 || 8GB Ram 128GB Rom || 5000mAh Battery 33W Fast Charger,"Rs. 55,999",0,free shiping,status not avail,86%,100%,"Rs. 55,999"
Redmi Note 12S - 8GB RAM 256GB ROM - 6.43 Inches Display - AMOLED LCD - Dual SIM - 5000mAh Battery,"Rs. 74,999",0,free shiping,status not avail,90%,98%,"Rs. 74,999"
"Xiaomi Redmi Note 12 RAM 6 GB ROM 128 Front Camera 13 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 64,960",0,free shiping,status not avail,93%,Not enough data,"Rs. 64,960"
"Xiaomi Redmi Note 12 RAM 8 GB ROM 128 Front Camera 13 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 59,880",0,free shiping,status not avail,95%,81%,"Rs. 59,880"
"Redmi Note 12 Pro , 8GB RAM 256GB ROM , 108MP Main Camera , Finger Sensor , 5000mAh Fast Charging","Rs. 92,070",0,free shiping,status not avail,New Seller,Not enough data,"Rs. 92,070"
"Redmi Note 12 Pro , 8GB RAM 256GB ROM , 108MP Main Camera , Finger Sensor , 5000mAh Fast Charging","Rs. 91,179",0,free shiping,status not avail,93%,68%,"Rs. 91,179"
"Redmi Note 12 Pro , 8GB RAM 256GB ROM , 108MP Main Camera , Finger Sensor , 5000mAh Fast Charging","Rs. 90,999",0,free shiping,status not avail,New Seller,100%,"Rs. 90,999"
Xiaomi Redmi Note 12 S RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 108 MP + 8 MP + 2 MP Battery Type 5000 mAh,"Rs. 78,990",0,free shiping,status not avail,95%,55%,"Rs. 78,990"
Xiaomi Redmi Note 12 S RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 108 MP + 8 MP + 2 MP Battery Type 5000 mA,"Rs. 79,980",0,free shiping,status not avail,93%,Not enough data,"Rs. 79,980"
"Xiaomi Note 12 , 8GB RAM 128GB ROM , 50MP Main Camera , Finger Sensor , 5000mAh Fast Chargiing","Rs. 51,999",0,free shiping,status not avail,87%,47%,"Rs. 51,999"
Redmi Note 12 || 8GB Ram 128GB Rom || 6.67 Inches AMOLED Display || 5000 mAh - Fast charging 33W wired ||,"Rs. 52,649",4.0,free shiping,status not avail,96%,63%,"Rs. 52,649"
Redmi Note 12 4G 3d Camera Lens Tempered Glass Protector Top Quality,Rs. 224,4.3,free shiping,status not avail,83%,90%,Rs. 224
Xiaomi Redmi Note 12 4G Tempered Glass Screen Protector Flexible 9H Gorilla Screen Guard Unbreakable Hammer Sheet For redmi note12 4g - Transparent,Rs. 349,4.6,free shiping,status not avail,82%,91%,Rs. 349
