,Industry,Functional Area,Total Positions,Job Shift,Job Type,Job Location,Gender,Minimum Education,Degree Title,Career Level,Minimum Experience,Apply Before,Posting Date,Age,Experience,Department,link_to_job
273,Banking/Financial Services,"Accounts, Finance & Financial Services",10 Posts,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Bachelors,Business Graduate,Experienced Professional,3 Years,"Nov 17, 2023","Oct 16, 2023",0,,,https://www.rozee.pk/focus-advertisement-business-international-office-manager-lahore-jobs-1429053?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429053&utm_campaign=ROZEE.PK_job_search
274,Information Technology,"Accounts, Finance & Financial Services",1 Post,Second Shift (Afternoon),Full Time/Permanent,"Gulberg 2, Lahore, Pakistan",Male,Bachelors,"Finance, Accounting, or a related field (Master’s degree or professional certifications like ACCA, CMA, or CA is a plus).",Experienced Professional,3 Years,"Dec 07, 2023","Nov 06, 2023",0,,,https://www.rozee.pk/hygge-bikes-ppc-advertising-specialist-karachi-lahore-jobs-1432331?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432331&utm_campaign=ROZEE.PK_job_search
275,Banking/Financial Services,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 03, 2023","Nov 02, 2023",0,,,https://www.rozee.pk/olim-natural-digital-advertising-specialist-lahore-jobs-1430529?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430529&utm_campaign=ROZEE.PK_job_search
276,Recruitment / Employment Firms,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Thokar Niaz Baig, Lahore, Pakistan",No Preference,Masters,0,Experienced Professional,0,"Nov 19, 2023","Oct 18, 2023",0,,,https://www.rozee.pk/prime-human-resource-services-pvt-ltd-phone-banking-officer-karachi-jobs-1428995?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428995&utm_campaign=ROZEE.PK_job_search
277,Information Technology,Computer Networking,1 Post,First Shift (Day),Contract,"Karachi, Pakistan",No Preference,Bachelors,In engineering/IT/Telecom,Experienced Professional,0,"Nov 24, 2023","Nov 10, 2023",22 - 35 Years,,,https://www.rozee.pk/habib-metropolitan-bank-ltd-ro-re-commercial-branch-banking-karachi-jobs-1423263?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1423263&utm_campaign=ROZEE.PK_job_search
278,Retail,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Mian Walli, Pakistan",Male,Intermediate/A-Level,0,Experienced Professional,0,"Dec 02, 2023","Nov 01, 2023",25 - 45 Years,,,https://www.rozee.pk/bankislami-pakistan-limited-graduate-trainee-programme-branch-banking-karachi-jobs-1433071?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433071&utm_campaign=ROZEE.PK_job_search
279,Banking/Financial Services,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Sarai Alamgir, Pakistan",No Preference,Intermediate/A-Level,i.Com/ B.Com/B.A,Entry Level,1 Year,"Nov 26, 2023","Nov 13, 2023",20 - 25 Years,,,https://www.rozee.pk/habib-metropolitan-bank-ltd-relationship-manager-assets-commercial-branch-banking-karachi-jobs-1423207?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1423207&utm_campaign=ROZEE.PK_job_search
280,Banking/Financial Services,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Shahkot, Pakistan",No Preference,Intermediate/A-Level,i.Com/ B.Com/B.A,Entry Level,1 Year,"Nov 26, 2023","Nov 13, 2023",20 - 25 Years,,,https://www.rozee.pk/aia-enterprises-pvt-ltd-manager-accounts-finance-lahore-jobs-1430815?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430815&utm_campaign=ROZEE.PK_job_search
281,Banking/Financial Services,Operations,1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Bachelors,BBA / MBA,Entry Level,Fresh,"Nov 17, 2023","Nov 13, 2023",19 - 28 Years,,,https://www.rozee.pk/mcb-bank-limited-relationship-manager-faisalabad-gujranwala-lahore-multan-sialkot-bahawalpur-sahiwal-jobs-1306964?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1306964&utm_campaign=ROZEE.PK_job_search
282,Banking/Financial Services,Administration,1 Post,First Shift (Day),Full Time/Permanent,"Kharian, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,Less than 1 Year,"Dec 09, 2023","Nov 08, 2023",0,,,https://www.rozee.pk/habib-bank-limited-hbl-branch-operations-manager-lahore-jobs-1429745?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429745&utm_campaign=ROZEE.PK_job_search
283,Banking/Financial Services,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Sadiqabad, Pakistan",No Preference,Intermediate/A-Level,i.Com/ B.Com/B.A,Entry Level,1 Year,"Nov 26, 2023","Nov 10, 2023",20 - 25 Years,,,https://www.rozee.pk/professional-employers-pvt-ltd-accounts-executive-lahore-jobs-1424175?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1424175&utm_campaign=ROZEE.PK_job_search
284,Banking/Financial Services,Product Management,1 Post,First Shift (Day),Full Time/Permanent,"Kharian, Pakistan",No Preference,Bachelors,0,Experienced Professional,2 Years,"Dec 11, 2023","Nov 10, 2023",0,,,https://www.rozee.pk/khushhali-microfinance-bank-limited-kmbl-law-litigation-officer-islamabad-jobs-1426561?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1426561&utm_campaign=ROZEE.PK_job_search
285,Banking/Financial Services,Procurement,1 Post,First Shift (Day),Full Time/Permanent,"Kharian, Pakistan",No Preference,Bachelors,0,Experienced Professional,2 Years,"Dec 11, 2023","Nov 10, 2023",0,,,https://www.rozee.pk/pakistan-single-window-associate-systems-engineer-support-karachi-jobs-1431705?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431705&utm_campaign=ROZEE.PK_job_search
286,Banking/Financial Services,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Bachelors,ACCA/CFA/MBA would be preferred.,Experienced Professional,5 Years (Experience in Risk Management is a must),"Dec 01, 2023","Nov 10, 2023",30 - 35 Years,,,https://www.rozee.pk/selecto-retail-branch-supervisor-sales-officer-mian-walli-jobs-1429385?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429385&utm_campaign=ROZEE.PK_job_search
287,Banking/Financial Services,Sales & Business Development,2 Posts,Second Shift (Afternoon),Full Time/Permanent,"Kharian, Pakistan",No Preference,Bachelors,0,Entry Level,1 Year,"Dec 10, 2023","Nov 10, 2023",0,,,https://www.rozee.pk/khushhali-microfinance-bank-limited-kmbl-cluster-manager-operations-islamabad-jobs-1420169?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1420169&utm_campaign=ROZEE.PK_job_search
288,Banking/Financial Services,Computer Networking,1 Post,First Shift (Day),Full Time/Permanent,"Thokar Niaz Baig, Lahore, Pakistan",Male,0,0,Experienced Professional,2 Years,"Dec 05, 2023","Nov 05, 2023",0,,,https://www.rozee.pk/mcb-bank-limited-branch-manager-islamabad-faisalabad-gujranwala-hyderabad-karachi-lahore-mardan-multan-peshawar-quetta-jobs-1350875?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1350875&utm_campaign=ROZEE.PK_job_search
289,Banking/Financial Services,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Faisalabad, Gujranwala, Lahore, Sialkot, Pakistan",No Preference,Bachelors,0,Entry Level,2 Years,"Dec 08, 2023","Nov 07, 2023",0,,,https://www.rozee.pk/mcb-bank-limited-branch-services-manager-islamabad-faisalabad-gujranwala-hyderabad-karachi-lahore-mardan-multan-peshawar-quetta-jobs-1422541?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1422541&utm_campaign=ROZEE.PK_job_search
290,Banking/Financial Services,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Faisalabad, Gujranwala, Lahore, Sialkot, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Dec 08, 2023","Nov 07, 2023",0,,,https://www.rozee.pk/ravi-group-of-companies-teller-sarai-alamgir-jobs-1433127?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433127&utm_campaign=ROZEE.PK_job_search
291,Banking/Financial Services,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Jhelum, Pakistan",No Preference,Intermediate/A-Level,i.Com/ B.Com/B.A,Entry Level,1 Year,"Nov 21, 2023","Nov 07, 2023",20 - 25 Years,,,https://www.rozee.pk/ravi-group-of-companies-teller-shahkot-jobs-1431361?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431361&utm_campaign=ROZEE.PK_job_search
292,Information Technology,Telemarketing,20 Posts,Third Shift (Night),Full Time/Permanent,"DHA, Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,1 Year,"Dec 15, 2023","Nov 14, 2023",0,,,https://www.rozee.pk/bankislami-pakistan-limited-graduate-trainee-programme-branch-banking-karachi-jobs-1433071?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433071&utm_campaign=ROZEE.PK_job_search
293,BPO,Sales & Business Development,3 Posts,Third Shift (Night),Full Time/Permanent,"Mazang, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,2 Years,"Dec 14, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/aftab-currency-exchange-ltd-admin-officer-kharian-jobs-1431745?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431745&utm_campaign=ROZEE.PK_job_search
294,BPO,Sales & Business Development,6 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Karachi, Lahore, Rawalpindi, Pakistan",No Preference,Intermediate/A-Level,0,Experienced Professional,3 Years,"Dec 14, 2023","Nov 13, 2023",18 - 50 Years,,,https://www.rozee.pk/ravi-group-of-companies-teller-sadiqabad-jobs-1432691?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432691&utm_campaign=ROZEE.PK_job_search
295,BPO,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 14, 2023","Nov 13, 2023",18 - 55 Years,,,https://www.rozee.pk/aftab-currency-exchange-ltd-product-specialist-kharian-jobs-1432593?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432593&utm_campaign=ROZEE.PK_job_search
296,BPO,Telemarketing,3 Posts,First Shift (Day),Full Time/Permanent,"P.E.C.H.S, Karachi, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,1 Year,"Dec 12, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/aftab-currency-exchange-ltd-pricing-executive-kharian-jobs-1432591?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432591&utm_campaign=ROZEE.PK_job_search
297,0,Marketing,15 Posts,First Shift (Day),Full Time/Permanent,"Karimabad, Karachi, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,0,"Dec 14, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/bank-al-habib-limited-risk-analysts-for-risk-management-division-karachi-jobs-1432461?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432461&utm_campaign=ROZEE.PK_job_search
298,0,Client Services & Customer Support,3 Posts,First Shift (Day),Full Time/Permanent,"DHA, Karachi, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,1 Year,"Dec 13, 2023","Nov 12, 2023",0,,,https://www.rozee.pk/aftab-currency-exchange-ltd-relationship-executive-kharian-jobs-1432261?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432261&utm_campaign=ROZEE.PK_job_search
299,BPO,Sales & Business Development,1 Post,Third Shift (Night),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 11, 2023","Nov 11, 2023",20 - 45 Years,,,https://www.rozee.pk/u-microfinance-bank-business-development-officer-islamabad-faisalabad-karachi-lahore-multan-peshawar-sukkur-jacobabad-jobs-1431905?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431905&utm_campaign=ROZEE.PK_job_search
300,BPO,Sales & Business Development,1 Post,Third Shift (Night),Full Time/Permanent,"Saidpur Road, Rawalpindi, Pakistan",No Preference,Bachelors,0,Entry Level,1 Year,"Nov 22, 2023","Oct 21, 2023",0,,,https://www.rozee.pk/khushhali-microfinance-bank-limited-kmbl-software-engineer-islamabad-jobs-1426539?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1426539&utm_campaign=ROZEE.PK_job_search
301,BPO,Operations,2 Posts,Third Shift (Night),Full Time/Permanent,"Bahria Town Rawalpindi, Rawalpindi, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 11, 2023","Nov 10, 2023",0,,,https://www.rozee.pk/khushhali-microfinance-bank-limited-kmbl-law-litigation-officer-islamabad-jobs-1426561?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1426561&utm_campaign=ROZEE.PK_job_search
302,BPO,Client Services & Customer Support,5 Posts,Third Shift (Night),Full Time/Permanent,"Bahria Town Rawalpindi, Rawalpindi, Pakistan",No Preference,Bachelors,0,Entry Level,0,"Dec 11, 2023","Nov 10, 2023",18 - 40 Years,,,https://www.rozee.pk/nrsp-microfinance-bank-limited-assistant-manager-insurance-islamabad-bahawalpur-jobs-1431649?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431649&utm_campaign=ROZEE.PK_job_search
303,0,Software & Web Development,1 Post,First Shift (Day),Full Time/Permanent,"DHA, Karachi, Pakistan",No Preference,0,"Computer Science, Engineering, or related field.",Experienced Professional,4 Years,"Dec 11, 2023","Nov 10, 2023",0,,,https://www.rozee.pk/nrsp-microfinance-bank-limited-aml-analyst-islamabad-bahawalpur-jobs-1431595?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431595&utm_campaign=ROZEE.PK_job_search
304,BPO,Search Engine Optimization (SEO),2 Posts,First Shift (Day),Full Time/Permanent,"Cavalry Ground, Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,1 Year,"Dec 11, 2023","Oct 17, 2023",0,,,https://www.rozee.pk/nrsp-microfinance-bank-limited-operational-and-fraud-risk-officer-islamabad-bahawalpur-jobs-1431603?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431603&utm_campaign=ROZEE.PK_job_search
305,BPO,Writer,2 Posts,First Shift (Day),Full Time/Permanent,"Cavalry Ground, Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,1 Year,"Dec 11, 2023","Oct 17, 2023",0,,,https://www.rozee.pk/ravi-group-of-companies-it-executive-lahore-jobs-1430411?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430411&utm_campaign=ROZEE.PK_job_search
306,0,Client Services & Customer Support,1 Post,Work from Home,Full Time/Permanent,"P.E.C.H.S, Karachi, Pakistan",Female,Intermediate/A-Level,0,Entry Level,Less than 1 Year,"Dec 11, 2023","Nov 10, 2023",0,,,https://www.rozee.pk/mobilink-microfinance-bank-relationship-officer-sme-faisalabad-gujranwala-lahore-sialkot-jobs-1431381?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431381&utm_campaign=ROZEE.PK_job_search
307,0,Client Services & Customer Support,3 Posts,First Shift (Day),Full Time/Permanent,"Sant Nagar, Lahore, Pakistan",No Preference,Matriculation/O-Level,0,Entry Level,0,"Dec 10, 2023","Nov 10, 2023",0,,,https://www.rozee.pk/mobilink-microfinance-bank-relationship-manager-sme-faisalabad-gujranwala-lahore-sialkot-jobs-1431373?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431373&utm_campaign=ROZEE.PK_job_search
308,0,Marketing,1 Post,First Shift (Day),Full Time/Permanent,"Mangowal, Gujrat, Pakistan",No Preference,Bachelors,0,Experienced Professional,2 Years,"Dec 11, 2023","Nov 10, 2023",0,,,https://www.rozee.pk/ravi-group-of-companies-teller-jhelum-jobs-1431359?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431359&utm_campaign=ROZEE.PK_job_search
309,BPO,Writer,15 Posts,First Shift (Day),Full Time/Permanent,"Township, Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,1 Year,"Dec 11, 2023","Nov 10, 2023",0,,,https://www.rozee.pk/evocative-sol-call-center-representative-usa-campaign-lahore-jobs-1433421?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433421&utm_campaign=ROZEE.PK_job_search
310,0,Client Services & Customer Support,1 Post,First Shift (Day),Full Time/Permanent,"DHA, Karachi, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,1 Year,"Dec 09, 2023","Nov 08, 2023",0,,,https://www.rozee.pk/cyber-system-pvt-ltd-business-development-executive-lahore-jobs-1433367?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433367&utm_campaign=ROZEE.PK_job_search
311,BPO,Sales & Business Development,35+ Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Karachi, Lahore, Rawalpindi, Pakistan",Male,Bachelors,Marketing,Experienced Professional,0,"Dec 09, 2023","Nov 08, 2023",22 - 35 Years,,,https://www.rozee.pk/hasnain-tanweer-associates-international-student-counselor-islamabad-karachi-lahore-rawalpindi-jobs-1433309?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433309&utm_campaign=ROZEE.PK_job_search
312,Broadcasting,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Lakki Marwat, Pakistan",Male,Bachelors,"B.COM , BBA, BA, BSC",Experienced Professional,"2 Years (Preference will be given to a candidate with experience in radio stations, media agencies, and social media broadcasting companies.)","Nov 24, 2023","Oct 23, 2023",25 - 50 Years,,,https://www.rozee.pk/hasnain-tanweer-associates-accountant-karachi-jobs-1433305?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433305&utm_campaign=ROZEE.PK_job_search
313,Broadcasting,Marketing,1 Post,Work from Home,Full Time/Permanent,"Islamabad, Karachi, Lahore, Pakistan",No Preference,Certification,0,Experienced Professional,3 Years,"Dec 09, 2023","Nov 08, 2023",0,,,https://www.rozee.pk/pro-work-technical-services-telesales-executive-karachi-jobs-1432869?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432869&utm_campaign=ROZEE.PK_job_search
314,0,Creative Design,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Rawalpindi, Pakistan",No Preference,Certification,0,Experienced Professional,5 Years,"Dec 09, 2023","Nov 08, 2023",0,,,https://www.rozee.pk/tovoco-international-marketing-solution-social-media-marketing-agent-karachi-jobs-1433055?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433055&utm_campaign=ROZEE.PK_job_search
315,Broadcasting,Sales & Business Development,1 Post,Third Shift (Night),Full Time/Permanent,"Islamabad, Karachi, Lahore, Multan, Pakistan",Male,Bachelors,0,Experienced Professional,5 Years,"Dec 02, 2023","Nov 01, 2023",0,,,https://www.rozee.pk/maseer-tech-services-virtual-assistant-medical-billing-karachi-jobs-1433025?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433025&utm_campaign=ROZEE.PK_job_search
316,0,Human Resources,3 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",No Preference,Bachelors,0,Experienced Professional,5 Years,"Nov 24, 2023","Oct 23, 2023",0,,,https://www.rozee.pk/paramount-services-group-lead-generation-specialist-lahore-jobs-1432705?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432705&utm_campaign=ROZEE.PK_job_search
317,Broadcasting,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Lakki Marwat, Pakistan",Male,Bachelors,"B.COM , BBA, BA, BSC",Experienced Professional,"2 Years (Preference will be given to a candidate with experience in radio stations, media agencies, and social media broadcasting companies.)","Nov 24, 2023","Oct 23, 2023",25 - 50 Years,,,https://www.rozee.pk/ziscomm-pvt-ltd-team-lead-sales-rawalpindi-jobs-1425363?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1425363&utm_campaign=ROZEE.PK_job_search
318,0,Creative Design,2 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,1 Year,"Nov 20, 2023","Oct 19, 2023",0,,,https://www.rozee.pk/comtanix-ecommerce-specialist-rawalpindi-jobs-1432645?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432645&utm_campaign=ROZEE.PK_job_search
319,Information Technology,Sales & Business Development,5 Posts,Third Shift (Night),Full Time/Permanent,"Lahore, Pakistan",Male,Bachelors,"Bachelors in IT, Computer Science, and Software Engineering",Experienced Professional,2 Years,"Nov 21, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/comtanix-customer-support-representative-rawalpindi-jobs-1432637?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432637&utm_campaign=ROZEE.PK_job_search
320,E-Commerce / E- Business,Sales & Business Development,3 Posts,First Shift (Day),Full Time/Permanent,"Korangi Town, Karachi, Pakistan",No Preference,Bachelors,0,Entry Level,1 Year,"Dec 11, 2023","Nov 10, 2023",18 - 28 Years,,,https://www.rozee.pk/pinnacle-enterprise-full-stack-developer-karachi-jobs-1432621?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432621&utm_campaign=ROZEE.PK_job_search
321,Media/Communications,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Paragon City, Lahore, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,0,"Dec 08, 2023","Nov 07, 2023",0,,,https://www.rozee.pk/irg-global-seo-expert-lahore-jobs-1424029?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1424029&utm_campaign=ROZEE.PK_job_search
322,BPO,Sales & Business Development,3 Posts,Third Shift (Night),Full Time/Permanent,"Mazang, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,2 Years,"Dec 14, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/irg-global-content-writer-lahore-jobs-1424021?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1424021&utm_campaign=ROZEE.PK_job_search
323,0,Sales & Business Development,5 Posts,First Shift (Day),Full Time/Permanent,"Gulberg, Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,1 Year,"Dec 12, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/hospitality-trends-america-customer-service-representative-karachi-jobs-1432611?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432611&utm_campaign=ROZEE.PK_job_search
324,Call Center,Sales & Business Development,15 Posts,Third Shift (Night),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,Fresh,"Dec 08, 2023","Nov 07, 2023",0,,,https://www.rozee.pk/mfa-comunications-customer-service-representative-lahore-jobs-1432225?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432225&utm_campaign=ROZEE.PK_job_search
325,Business Development,Sales & Business Development,10 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Dec 11, 2023","Nov 10, 2023",24 - 40 Years,,,https://www.rozee.pk/medhouse-group-social-media-manager-gujrat-jobs-1432471?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432471&utm_campaign=ROZEE.PK_job_search
326,Information Technology,Sales & Business Development,1 Post,Second Shift (Afternoon),Full Time/Permanent,"Johar Town, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Dec 02, 2023","Nov 02, 2023",0,,,https://www.rozee.pk/aesom-pvt-ltd-content-writer-lahore-jobs-1432487?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432487&utm_campaign=ROZEE.PK_job_search
327,Real Estate/Property,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Faisalabad, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Nov 29, 2023","Oct 28, 2023",0,,,https://www.rozee.pk/harbour-tech-hub-call-center-agent-karachi-jobs-1431999?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431999&utm_campaign=ROZEE.PK_job_search
328,Information Technology,Sales & Business Development,4 Posts,Third Shift (Night),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,1 Year,"Nov 26, 2023","Oct 26, 2023",0,,,https://www.rozee.pk/hasnain-tanweer-associates-sr-business-development-executive-islamabad-karachi-lahore-rawalpindi-jobs-1431843?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431843&utm_campaign=ROZEE.PK_job_search
329,Information Technology,Sales & Business Development,3 Posts,Third Shift (Night),Full Time/Permanent,"Lahore, Pakistan",Female,Bachelors,0,Experienced Professional,0,"Nov 17, 2023","Nov 09, 2023",0,,,https://www.rozee.pk/lakki-broadcasting-private-limited-accountant-lakki-marwat-jobs-1426177?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1426177&utm_campaign=ROZEE.PK_job_search
330,Information Technology,Sales & Business Development,3 Posts,First Shift (Day),Internship,"Bahria Town Lahore, Lahore, Pakistan",No Preference,Intermediate/A-Level,0,Intern/Student,Fresh,"Dec 01, 2023","Oct 30, 2023",0,,,https://www.rozee.pk/khel-tamasha-social-media-virtual-assistant-islamabad-karachi-lahore-jobs-1431871?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431871&utm_campaign=ROZEE.PK_job_search
331,Call Center,Sales & Business Development,15 Posts,Third Shift (Night),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,Fresh,"Nov 29, 2023","Oct 28, 2023",0,,,https://www.rozee.pk/khel-tamasha-video-editor-islamabad-rawalpindi-jobs-1431819?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431819&utm_campaign=ROZEE.PK_job_search
332,0,Sales & Business Development,2 Posts,First Shift (Day),Full Time/Permanent,"Gulberg 3, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,4 Years,"Nov 26, 2023","Oct 25, 2023",0,,,https://www.rozee.pk/beginnertuts-senior-sales-executive-islamabad-karachi-lahore-multan-jobs-1429107?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429107&utm_campaign=ROZEE.PK_job_search
333,Information Technology,Sales & Business Development,3 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Nov 25, 2023","Oct 24, 2023",0,,,https://www.rozee.pk/the-ink-insight-hr-manager-islamabad-jobs-1426271?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1426271&utm_campaign=ROZEE.PK_job_search
334,0,Sales & Business Development,5 Posts,First Shift (Day),Full Time/Permanent,"Gulberg 5, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 09, 2023","Nov 10, 2023",0,,,https://www.rozee.pk/lakki-broadcasting-private-limited-accountant-lakki-marwat-jobs-1426177?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1426177&utm_campaign=ROZEE.PK_job_search
335,Information Technology,Sales & Business Development,1 Post,Second Shift (Afternoon),Full Time/Permanent,"Iqbal Avenue, Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,0,"Dec 02, 2023","Nov 02, 2023",0,,,https://www.rozee.pk/oz-group-video-editor-islamabad-jobs-1424829?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1424829&utm_campaign=ROZEE.PK_job_search
