,Industry,Functional Area,Total Positions,Job Shift,Job Type,Job Location,Gender,Minimum Education,Degree Title,Career Level,Minimum Experience,Apply Before,Posting Date,Age,Experience,Department,link_to_job
1230,Manufacturing,Administration,1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Bachelors,"Information Management, Computer Science, or a related field.",Experienced Professional,4 Years,"Jan 01, 2024","Nov 10, 2023",0,,,https://www.rozee.pk/takhleeq-social-media-coordinator-islamabad-jobs-1430887?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430887&utm_campaign=ROZEE.PK_job_search
1231,0,Sales & Business Development,2 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,2 Years,"Dec 12, 2023","Nov 12, 2023",0,,,https://www.rozee.pk/mama-organic-social-media-intern-lahore-jobs-1429099?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429099&utm_campaign=ROZEE.PK_job_search
1232,Manufacturing,Sales & Business Development,5 Posts,First Shift (Day),Full Time/Permanent,"Rawalpindi, Pakistan",Male,Bachelors,0,Experienced Professional,2 Years,"Dec 13, 2023","Nov 12, 2023",0,,,https://www.rozee.pk/media-signs-llc-social-media-marketer-islamabad-faisalabad-karachi-lahore-jobs-1432039?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432039&utm_campaign=ROZEE.PK_job_search
1233,Manufacturing,Sales & Business Development,2 Posts,First Shift (Day),Full Time/Permanent,"Hyderabad, Karachi, Quetta, Pakistan",Male,Masters,"Master / MBA (Marketing, Sales or related field).",Experienced Professional,0,"Dec 13, 2023","Nov 12, 2023",30 - 40 Years,,,https://www.rozee.pk/efs-marketing-social-media-manager-rawalpindi-jobs-1428579?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428579&utm_campaign=ROZEE.PK_job_search
1234,Manufacturing,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Gulberg 2, Lahore, Pakistan",No Preference,Bachelors,Accounts & Taxation.,Department Head,0,"Dec 12, 2023","Nov 12, 2023",0,,,https://www.rozee.pk/zaitoon-pakistan-pvt-ltd-social-media-manager-islamabad-jobs-1429651?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429651&utm_campaign=ROZEE.PK_job_search
1235,Manufacturing,Sales & Business Development,4 Posts,First Shift (Day),Full Time/Permanent,"Hyderabad, Karachi, Sukkur, Pakistan",Male,Bachelors,"M.com/B.com Degree in Commerce, Sales Or Relevant Field",Experienced Professional,5 Years,"Dec 12, 2023","Nov 12, 2023",25 - 40 Years,,,https://www.rozee.pk/web-markaz-content-social-media-specialist-islamabad-jobs-1433059?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433059&utm_campaign=ROZEE.PK_job_search
1236,Manufacturing,Sales & Business Development,3 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Gujranwala, Rawalpindi, Pakistan",Male,Masters,Master / MBA Marketing or Equivalent,Experienced Professional,0,"Dec 13, 2023","Nov 12, 2023",30 - 40 Years,,,https://www.rozee.pk/saleem-fabrics-social-media-expert-lahore-jobs-1429259?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429259&utm_campaign=ROZEE.PK_job_search
1237,Manufacturing,Sales & Business Development,3 Posts,First Shift (Day),Full Time/Permanent,"Hyderabad, Karachi, Quetta, Pakistan",Male,Masters,BBA/ MBA or equivalent.,Experienced Professional,0,"Dec 13, 2023","Nov 12, 2023",28 - 35 Years,,,https://www.rozee.pk/cosmopro-pvt-ltd-social-media-manager-islamabad-jobs-1429493?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429493&utm_campaign=ROZEE.PK_job_search
1238,Manufacturing,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Ugoki, Sialkot, Pakistan",No Preference,Masters,"M.Com, MBA Finance or Equivalent",Experienced Professional,0,"Dec 12, 2023","Nov 11, 2023",0,,,https://www.rozee.pk/crescent-social-media-solutions-social-media-manager-islamabad-jobs-1428001?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428001&utm_campaign=ROZEE.PK_job_search
1239,Manufacturing,Manufacturing,1 Post,First Shift (Day),Full Time/Permanent,"Ghuinke, Sialkot, Pakistan",Male,Bachelors,0,Experienced Professional,5 Years,"Dec 12, 2023","Nov 11, 2023",0,,,https://www.rozee.pk/blue-group-of-companies-social-media-expert-lahore-jobs-1428665?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428665&utm_campaign=ROZEE.PK_job_search
